"product","relation_type","rule"
"M15127","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90737,M731,M12655,M62584,M40490,M40491,M62381,M213,M226,M229,M14054,M87416,M87464,M87599,M432,M1018212""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M15226","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1006822,M39658,M1079243,M1013287,M1013541,M1016129""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1896","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M46180""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1896","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1818,M1814,M1852,M1853,M1855,M75739,M75744,M46188,M46196""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21062","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22761""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21066","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22760,M25166,M25171""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21090","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21105,M21092,M21100,M21098,M21097,M21099""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21091","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21105,M21097,M21101,M21093""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21092","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21097,M21090,M21098,M21099,M21100""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21093","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21091,M21101,M21097""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21094","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23752""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21097","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23741""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21099","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21101,M21102,M21100,M23752""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21100","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23752,M21099,M21101,M21102""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21101","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21100,M21099,M23752,M21102""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21102","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23752""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21103","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22882""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21104","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23752""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21105","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21092,M21090,M23752""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21190","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M25442,M25302""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21193","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22421,M22299""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21194","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M25448,M25399""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21200","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M25103,M25153,M25154,M22421,M25139,M25090,M22299,M25104,M25119""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21201","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M25396,M25395""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21206","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21295","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23741""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21296","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21299,M21297,M21295""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21299","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23752""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M213","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M56424""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M213","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90806,M90799,M90800,M90802,M90805,M90804,M1024684,M1024689""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M213","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90737,M1018212,M226,M229,M14054,M15127,M87416,M87464,M731,M12655,M62584,M40491,M40490,M62381,M432,M87599""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21632","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398,M22760,M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21634","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22760,M22398,M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21636","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M21713""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21638","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22760,M22714,M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21646","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21648","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21650","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21684","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398,M22521,M22714,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21692","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714,M22398,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21693","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22760,M22714,M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21694","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714,M22398,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21703","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22795,M25832,M25138,M22852""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21704","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714,M22760,M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21705","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22795,M25832,M25138,M22852,M26254""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21708","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714,M22398,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21711","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714,M22398,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21713","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398,M22760,M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21714","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22760,M22714,M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21715","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398,M22760,M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21716","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398,M22714,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21717","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398,M22714,M22760""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21740","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22622""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21742","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22484""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21743","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22622""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21744","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21745","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21759","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21766","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21771","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21774","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M21903","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22230","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23242,M23741,M22229""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22232","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22231,M22882""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22269","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23741""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22293","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714,M26287,M22398,M22614,M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22398","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22792,M23685,M23501""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22410","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22411,M22412""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22411","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22410""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22412","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22410""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22432","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22412""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22484","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M226","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90799,M90800,M90802,M90804,M90805,M90806,M1024684,M1024689""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M226","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M213,M229,M14054,M15127,M87416,M87464,M731,M12655,M62584,M40490,M40491,M62381,M1018212,M90737,M432,M87599""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22613","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22421,M22486""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22663","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23852""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22664","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M23881""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22682","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M26288,M23466""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M22797","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M26291""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M229","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75068""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M229","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90806,M90800,M90799,M90802,M90804,M90805,M1024684,M1024689""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M229","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90737,M432,M87599,M213,M226,M14054,M15127,M87416,M87464,M731,M12655,M62584,M40490,M40491,M62381,M1018212""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23067","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22398""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23436","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M26291""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23440","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23441","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23444","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22665,M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23450","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23451","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22714""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23455","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23456","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23457","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23459","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23462","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22663""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23467","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M23468","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M22432""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
